<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230601;134900;24.37;24.375;24.37;24.375;6400
230601;135000;24.37;24.38;24.36;24.36;20400
230601;135100;24.36;24.36;24.36;24.36;3800
230601;135200;24.36;24.365;24.36;24.36;400
230601;135300;24.36;24.365;24.36;24.36;29700
230601;135400;24.36;24.365;24.36;24.365;3000
230601;135500;24.365;24.365;24.365;24.365;46900
230601;135600;24.365;24.375;24.365;24.37;18500
230601;135700;24.375;24.39;24.37;24.39;23400
230601;135800;24.38;24.395;24.38;24.39;8100
230601;135900;24.38;24.39;24.38;24.39;2100
230601;140000;24.39;24.395;24.39;24.39;2900
230601;140200;24.39;24.39;24.39;24.39;2700
230601;140300;24.395;24.4;24.39;24.4;5600
230601;140400;24.4;24.405;24.395;24.405;20600
230601;140500;24.395;24.395;24.39;24.39;1800
230601;140600;24.395;24.41;24.395;24.405;29500
230601;140700;24.41;24.41;24.405;24.405;1500
230601;140800;24.405;24.415;24.405;24.415;10900
230601;140900;24.41;24.42;24.405;24.405;36600
230601;141000;24.405;24.415;24.375;24.375;46600
230601;141100;24.38;24.38;24.375;24.375;2000
230601;141200;24.385;24.385;24.385;24.385;300
230601;141300;24.385;24.385;24.38;24.38;600
230601;141400;24.385;24.385;24.375;24.375;2300
230601;141500;24.38;24.39;24.37;24.39;12700
230601;141600;24.38;24.395;24.38;24.38;2100
230601;141700;24.39;24.39;24.375;24.375;10100
230601;141800;24.365;24.365;24.36;24.36;10800
230601;141900;24.36;24.36;24.36;24.36;4500
230601;142000;24.36;24.36;24.355;24.36;3400
230601;142100;24.355;24.36;24.355;24.355;2800
230601;142200;24.36;24.37;24.36;24.37;2900
230601;142300;24.355;24.37;24.345;24.345;32600
230601;142400;24.37;24.37;24.37;24.37;400
230601;142500;24.35;24.37;24.35;24.37;4100
230601;142600;24.375;24.375;24.375;24.375;2200
230601;142800;24.37;24.43;24.37;24.43;72200
230601;142900;24.425;24.43;24.425;24.43;700
230601;143000;24.41;24.41;24.385;24.385;7500
230601;143200;24.4;24.405;24.385;24.385;2700
230601;143300;24.38;24.4;24.375;24.4;4400
230601;143400;24.41;24.41;24.41;24.41;100
230601;143500;24.41;24.41;24.41;24.41;100
230601;143600;24.41;24.41;24.385;24.385;2600
230601;143700;24.385;24.41;24.385;24.41;2500
230601;143800;24.385;24.415;24.385;24.415;2300
230601;143900;24.4;24.405;24.395;24.395;2600
230601;144000;24.41;24.415;24.41;24.415;800
230601;144100;24.395;24.41;24.395;24.41;1800
230601;144200;24.39;24.39;24.39;24.39;5100
230601;144300;24.38;24.38;24.38;24.38;700
230601;144400;24.395;24.395;24.375;24.375;3000
230601;144500;24.39;24.39;24.375;24.39;1900
230601;144600;24.39;24.39;24.39;24.39;100
230601;144700;24.38;24.395;24.375;24.375;9700
230601;144800;24.375;24.385;24.375;24.385;3900
230601;144900;24.39;24.39;24.39;24.39;4500
230601;145000;24.375;24.375;24.375;24.375;600
230601;145100;24.39;24.39;24.37;24.37;13800
230601;145200;24.38;24.38;24.38;24.38;1000
230601;145300;24.4;24.4;24.4;24.4;400
230601;145400;24.38;24.38;24.38;24.38;2500
230601;145500;24.38;24.39;24.38;24.39;1600
230601;145600;24.39;24.41;24.39;24.41;9400
230601;145700;24.415;24.415;24.415;24.415;200
230601;145800;24.42;24.44;24.42;24.42;42100
230601;145900;24.43;24.43;24.43;24.43;100
230601;150000;24.415;24.415;24.41;24.41;2200
230601;150100;24.415;24.43;24.415;24.43;2000
230601;150200;24.42;24.43;24.41;24.42;20700
230601;150300;24.425;24.425;24.425;24.425;100
230601;150400;24.425;24.425;24.415;24.425;3300
230601;150600;24.42;24.425;24.42;24.425;400
230601;150700;24.42;24.42;24.42;24.42;100
230601;150800;24.425;24.425;24.42;24.42;2000
230601;150900;24.41;24.41;24.405;24.405;2600
230601;151000;24.415;24.415;24.415;24.415;100
230601;151100;24.415;24.42;24.415;24.42;5400
230601;151200;24.42;24.42;24.42;24.42;200
230601;151300;24.42;24.425;24.42;24.425;35500
230601;151400;24.425;24.44;24.425;24.44;30500
230601;151600;24.43;24.435;24.425;24.435;2400
230601;151700;24.435;24.44;24.435;24.44;1600
230601;151900;24.43;24.43;24.425;24.425;11700
230601;152000;24.42;24.42;24.42;24.42;1000
