<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211112;000000;33.88;40.85;33.48;40.255;363925800
20211113;000000;40.26;49;39.325;46.87;867795700
20211116;000000;46.9;50.35;42.56;43.55;516164500
20211117;000000;43.795;46.425;42.23;45.22;338861600
20211118;000000;45.5;46;43.65;44.185;131475300
20211119;000000;44.11;44.68;40.2;41.305;180714700
20211120;000000;41.82;43.12;38.87;41.25;272179000
20211123;000000;41.12;42.295;38.9;39.745;171676100
20211124;000000;39.54;41.775;38.88;39.79;119918300
20211125;000000;40.015;42.39;39.26;41.065;145008200
20211126;000000;41.335;41.7;39.875;40.37;73171200
20211127;000000;39.5;40.235;38.095;38.235;100188800
20211130;000000;38.95;39.425;38.275;38.595;75257300
20211201;000000;38.25;38.515;36.15;36.42;147991900
20211202;000000;36.8;38.08;36.7;37.02;93179100
20211203;000000;37.32;39.18;37.175;39.11;71324500
20211204;000000;39.32;39.865;38.065;38.33;92582500
20211207;000000;38.395;39.1;37.6;38.81;59480100
20211208;000000;38.81;39.96;38.68;39.47;55330800
20211209;000000;39.58;39.85;38.06;38.625;53267300
20211210;000000;38.88;39.575;38.455;38.97;48572400
20211211;000000;38.825;39.075;38.075;38.34;24737800
20211214;000000;38.49;38.8;36.375;36.6;52706700
20211215;000000;36.62;37.115;34.36;36.77;49918100
20211216;000000;36.625;42.385;36.41;40.6;312997800
20211217;000000;40.6;41.4;39.57;39.7;85185200
20211218;000000;39.64;41.44;38.555;39.275;116833700
20211221;000000;39.035;39.185;37.53;38.66;55683700
20211222;000000;38.685;39.6;38.615;38.955;37253300
20211223;000000;39.05;40.61;38.85;38.94;67606500
20211224;000000;38.99;39.665;38.45;38.75;40125500
20211225;000000;38.9;39.12;38.2;38.41;19579400
20211228;000000;38.38;38.6;37.925;38.545;32691400
20211229;000000;38.61;39.705;38.39;39.265;44897800
20211230;000000;39.115;39.685;39.005;39.5;24688100
20211231;000000;39.525;40.065;39.205;39.91;28495700
20220104;000000;39.9;40.13;39.435;39.6;20535700
20220105;000000;39.6;40.5;39.365;40.175;33558100
20220106;000000;40.105;40.315;38.665;38.75;30760100
20220107;000000;38.76;39.595;38.62;39.125;24886700
20220111;000000;39.32;40.115;38.84;39.29;26898300
20220112;000000;39.3;40.38;39.17;40.315;36145200
20220113;000000;40.37;40.95;39.805;40.83;37272800
20220114;000000;40.845;41.025;38.1;38.435;96237600
20220115;000000;38.39;38.895;36.405;38.39;97948900
20220118;000000;38.76;38.95;37.335;38.01;51151000
20220119;000000;38.08;38.25;35.16;36.58;78614800
20220120;000000;36.445;37.69;35.2;36.39;126650600
20220121;000000;36.41;37.1;36.2;36.2;52368900
20220122;000000;36.2;36.425;35.42;35.595;49948500
20220125;000000;35.62;36.1;32.97;34.595;73821800
20220126;000000;34.6;35.35;33.905;35;59142600
20220127;000000;35.095;35.1;34.02;34.24;72687900
20220128;000000;34.235;36.515;33.92;35.375;94507500
20220129;000000;35.555;36.4;35.065;35.735;65149800
20220201;000000;36.07;36.81;35.875;36.53;43931200
20220202;000000;36.645;36.645;35.67;35.945;27096100
20220203;000000;35.92;36.675;35.64;35.81;34769300
20220204;000000;35.795;36.07;35.25;35.65;30146800
20220205;000000;35.8;36.25;35.645;36.1;41316300
20220208;000000;36.095;36.74;35.605;36.015;33059100
20220209;000000;35.86;36.78;35.795;36.68;27240000
20220210;000000;36.73;37.25;36.225;36.54;44149300
20220211;000000;36.54;36.975;36.025;36.42;42716200
20220212;000000;36.57;36.57;34.47;34.775;51179100
20220215;000000;34.65;36.05;34.08;34.9;69369300
20220216;000000;35.215;36.475;35.015;36.09;46204100
20220217;000000;36.175;36.525;35.475;35.695;59380600
20220218;000000;35.69;35.715;34.735;35;39910000
20220219;000000;35.105;35.39;33.4;33.835;47449600
20220222;000000;33.5;34.57;25.71;28.7;196494700
20220223;000000;28;30.37;26.645;29.85;153740600
20220225;000000;26.805;26.86;15.96;21.2;139198800
20220226;000000;21.475;25;21.475;22.42;66468900
20220325;000000;22.4;26.85;22.105;23.8;32273400
20220326;000000;25;25.47;22.885;23.3;11688600
20220329;000000;23;23.45;22.1;22.2;11455300
20220330;000000;22.25;23;20.55;21.4;25395900
20220331;000000;21.92;22.75;21.62;22.44;18262100
20220401;000000;22.785;25.695;22.64;24.7;38251300
