<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240113,000000,29.69,30.69,29.555,30.125,70840600
20240116,000000,30.195,30.555,29.675,29.845,44414500
20240117,000000,29.9,29.93,29.46,29.65,23919500
20240118,000000,29.605,29.98,29.51,29.695,17585400
20240119,000000,29.725,29.805,28.815,28.99,42584500
20240120,000000,29,29.04,28.605,28.715,31120900
20240123,000000,28.705,29.255,28.55,29.035,24658400
20240124,000000,29.1,29.43,28.995,29.19,27320500
20240125,000000,29.225,29.42,28.75,28.895,25231600
20240126,000000,28.895,29.375,28.625,29.185,26693700
20240127,000000,29.185,29.335,29,29.035,15626100
20240130,000000,29.115,29.3,28.715,28.93,24756700
20240131,000000,28.945,29.12,28.84,29.025,15966800
20240201,000000,29.08,29.28,29,29.145,17230900
20240202,000000,29.155,30.925,29.14,30.895,158959100
20240203,000000,30.97,31.2,30.265,30.45,85389700
20240206,000000,30.42,30.445,29.815,30.2,37769400
20240207,000000,30.25,30.7,30.02,30.33,36517400
20240208,000000,30.34,30.64,30.165,30.21,22054500
20240209,000000,30.22,30.355,29.57,29.75,26972600
20240210,000000,29.77,30.23,29.66,30.15,22177600
20240213,000000,30.255,30.36,29.995,30.28,18170800
20240214,000000,30.385,30.735,30,30.5,25035800
20240215,000000,30.5,30.93,30.35,30.4,31250200
20240216,000000,30.465,30.87,30.265,30.78,38927800
20240217,000000,30.85,31.33,30.075,30.255,77430700
20240220,000000,30.455,30.74,30.16,30.22,30856400
20240221,000000,30.2,30.28,28.755,28.995,66064000
20240222,000000,28.99,29.2,28.4,28.645,48057600
20240223,000000,28.725,29.17,28.295,28.52,34640600
20240227,000000,28.795,29.395,28.755,29.285,32127700
20240228,000000,29.35,29.875,29.03,29.485,45198400
20240229,000000,29.395,29.605,29.05,29.175,22939800
20240301,000000,29.305,29.49,29.055,29.405,18208700
20240302,000000,29.435,29.49,29.215,29.31,16007300
20240305,000000,29.425,29.9,29.32,29.7,35136500
20240306,000000,29.79,30.37,29.565,29.74,56289700
20240307,000000,29.79,29.89,29.57,29.785,16777800
20240308,000000,29.815,29.995,29.7,29.825,17545600
20240312,000000,29.9,30.05,29.4,29.615,22381500
20240313,000000,29.62,29.85,29.32,29.7,15894200
20240314,000000,29.735,29.78,29.35,29.38,13719000
20240315,000000,29.41,29.49,29.115,29.24,21226200
20240316,000000,29.21,29.45,29.15,29.26,16211500
20240319,000000,29.265,29.58,29.225,29.48,19279100
20240320,000000,29.51,29.69,28.75,28.85,35813000
20240321,000000,28.865,29.125,28.25,28.595,56891300
20240322,000000,28.655,28.795,27.965,28.25,51327000
20240323,000000,28.255,28.915,28.255,28.39,90734900
20240326,000000,28.54,29.35,28.54,29.3,87996600
20240327,000000,29.36,29.46,28.845,29.07,62655000
20240328,000000,29.1,29.4,28.76,29.32,40611300
20240329,000000,29.38,29.57,29.07,29.17,43012200
20240330,000000,29.175,29.885,28.92,29.88,64303500
20240402,000000,30.01,31.63,29.665,31.225,161687200
20240403,000000,31.355,32.225,30.485,30.89,131388500
20240404,000000,30.935,31.325,30.57,31.05,51124300
20240405,000000,31.15,31.285,30.605,30.71,48658900
20240406,000000,30.68,31.46,30.64,30.865,57730700
20240409,000000,31.045,31.895,30.835,31.705,61554300
20240410,000000,31.75,31.98,30.885,30.9,71833000
20240411,000000,30.985,31.58,30.55,31.535,51485900
20240412,000000,31.59,31.74,30.91,31.14,46253600
20240413,000000,31.215,31.895,31.07,31.42,88345200
20240416,000000,31.75,32.75,31.615,32.74,164869200
20240417,000000,32.81,33.39,32.43,32.94,114669600
20240418,000000,32.975,33.075,32.155,32.26,55581700
20240419,000000,32.26,32.985,31.84,32.9,76093600
20240420,000000,32.96,34.345,32.96,34.24,194564900
20240423,000000,34.36,35.9,33.84,34.96,273067500
20240424,000000,34.9,35.385,33.34,33.435,186034100
20240425,000000,33.525,33.88,32.9,33.02,106752200
20240426,000000,33.02,33.73,32.99,33.355,54384000
20240427,000000,33.385,33.87,33.15,33.405,55644100
20240428,000000,33.4,34.87,33.35,34.47,141680800
20240430,000000,34.695,35.495,34.605,35.485,73259900
20240501,000000,35.5,35.745,34.85,35.005,62083700
20240503,000000,35,35.14,34.61,34.91,39896600
20240504,000000,34.795,35.49,34.665,35.2,63098100
20240507,000000,35.39,36.225,35.355,35.845,130941800
20240508,000000,35.92,36.695,35.91,36.49,82013900
20240509,000000,36.585,36.835,35.95,36.36,60483200
20240511,000000,36.485,37.05,36.46,36.96,40420100
20240514,000000,37.18,37.465,35.635,35.99,147408900
20240515,000000,36.005,36.15,35.335,35.435,77156600
20240516,000000,35.525,35.53,33.77,33.82,178350000
20240517,000000,33.815,34.475,33.5,34.06,84197200
20240518,000000,34.135,34.26,33.18,33.275,67888300
20240521,000000,33.345,33.65,32.375,33.15,99406800
20240522,000000,33.175,33.96,32.6,32.97,67610000
20240523,000000,32.97,33.325,32.8,32.88,27410800
20240524,000000,32.885,33.49,32.605,32.79,37891200
20240525,000000,32.85,32.97,31.545,31.74,71755200
20240528,000000,31.715,31.945,30.065,30.17,87029400
20240529,000000,30.405,31,29.55,30.16,94105700
20240530,000000,30.23,30.72,29.9,30.64,46513200
20240531,000000,30.785,30.84,29.25,29.49,53171200
20240601,000000,29.34,30.155,28.175,28.58,74764500
20240604,000000,28.78,29.235,26.7,28.43,154430700
20240605,000000,28.3,28.995,27.7,28.865,75785900
20240606,000000,28.9,29.3,28.32,28.64,58300200
20240607,000000,28.675,28.935,28.36,28.79,26940200
20240608,000000,28.82,30.165,28.74,29.83,74650400
