<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220223,000000,25.35,25.99,21.5,24.45,2048400
20220225,000000,22.03,22.96,14.69,16.13,2788100
20220226,000000,17,22,16.14,20.5,2188600
20220329,000000,21.3,24.8,17.5,21.2,3761400
20220330,000000,21.99,29.08,21.21,25.2,1339500
20220331,000000,27.5,28.59,26.05,26.92,973600
20220401,000000,27.77,27.99,25.4,26.88,1016000
20220402,000000,26.24,27.49,26.24,27.05,699300
20220405,000000,28.98,30.5,28.03,29.83,3130000
20220406,000000,30.97,31.96,28.59,29.78,2715200
20220407,000000,29.81,36.6,28.51,33.78,11466400
20220408,000000,35.08,39.12,34.1,35.93,6718400
20220409,000000,36.55,36.64,32.76,34.11,2245700
20220412,000000,36.33,36.33,32.02,32.19,1518000
20220413,000000,32.26,32.85,30,31.1,2151900
20220414,000000,31.01,33.94,30.45,33.88,2472800
20220415,000000,33.9,37,32.8,36.17,10555600
20220416,000000,36,38.4,34.12,36.37,5921000
20220419,000000,36.81,39.66,36.34,38.24,5286000
20220420,000000,38.49,39.35,34.12,36.41,3495100
20220421,000000,36.52,37.32,35.09,36.03,1483000
20220422,000000,36.09,36.5,34.5,34.6,2202300
20220423,000000,35.16,35.48,34.01,34.4,786500
20220426,000000,34.4,34.4,32.1,32.72,1122200
20220427,000000,32.83,36.2,32.73,35,2618200
20220428,000000,35.89,37.19,35.01,35.65,2302100
20220429,000000,36.19,37.41,35.13,35.38,2030300
20220430,000000,35.77,36.99,35.2,35.98,1282300
20220505,000000,36.39,36.48,34.54,35.01,796600
20220506,000000,35.4,35.45,33.88,34.41,1610800
20220507,000000,34.69,34.75,32.85,33.65,1642100
20220512,000000,34.09,34.65,33.32,34.05,658000
20220513,000000,34.05,34.38,33.25,33.39,611900
20220514,000000,33.97,33.97,32.71,32.76,1226400
20220517,000000,32.81,35.16,32.1,34.18,2485000
20220518,000000,34.1,35.49,34.08,34.65,1562200
20220519,000000,34.65,34.97,34.13,34.22,798000
20220520,000000,34.11,34.2,33,33.3,571000
20220521,000000,33.4,33.77,32.5,32.8,693000
20220524,000000,32.95,33.97,32.48,32.5,623800
20220525,000000,32.51,33.11,31.4,32.02,604400
20220526,000000,32.27,32.4,31,31.77,648000
20220527,000000,31.48,31.5,30.56,30.83,1081800
20220528,000000,31.05,31.37,30.06,30.47,912100
20220531,000000,30.49,33.75,30.49,32.23,3381200
20220601,000000,32.59,32.85,31.33,31.55,1388100
20220602,000000,31.45,31.97,30.75,31.28,649000
20220603,000000,31.11,33.97,30.16,32.7,1681000
20220604,000000,32.7,33,31,31.49,902600
20220607,000000,31.51,31.84,30.55,30.73,986700
20220608,000000,31.04,31.5,30.47,31.15,812100
20220609,000000,31.31,33.77,31.01,31.54,2197700
20220610,000000,31.98,31.98,31.06,31.16,450600
20220611,000000,31.21,32.95,30.85,31.81,2794300
20220615,000000,31.98,33.97,31.74,32.01,4312600
20220616,000000,32.69,32.69,31.4,31.5,1644200
20220617,000000,31.93,31.99,31.33,31.68,1430900
20220618,000000,31.8,32,31.32,31.34,785600
20220621,000000,31.94,32.3,31.28,32.3,1150200
20220622,000000,32.88,33.73,31.37,31.7,4350900
20220623,000000,31.8,32.58,31.24,31.43,1646900
20220624,000000,31.73,32.28,31.24,31.88,1577200
20220625,000000,31.81,32,31.33,31.53,1351100
20220628,000000,31.8,32,31.43,31.55,1104900
20220629,000000,31.68,31.7,30.72,30.86,1328000
20220630,000000,31.1,31.12,30.35,30.75,916500
20220701,000000,30.97,31.19,27,30,1613400
20220702,000000,29.74,31.55,28.18,31.2,2991200
20220705,000000,31.95,33.3,31.2,31.72,6811200
20220706,000000,31.61,31.68,30.69,31.06,1600000
20220707,000000,30.92,31.21,30.39,30.66,1279600
20220708,000000,30.64,31.08,30.2,30.41,917300
20220709,000000,30.59,30.77,30.27,30.5,695800
20220712,000000,30.63,30.67,29.71,29.94,1129700
20220713,000000,29.53,30.99,28.44,29.22,2271900
20220714,000000,29.79,30.46,27.56,28.49,1409200
20220715,000000,28.49,28.99,27.7,28.8,1425900
20220716,000000,28.8,29.39,28.25,29.37,930300
20220719,000000,29.18,29.66,28,28.63,1123800
20220720,000000,28.64,28.69,27.7,27.89,930700
20220721,000000,28.29,29.08,27.91,28.78,784400
20220722,000000,28.77,29.03,27.98,28.26,997600
20220723,000000,28.49,29.65,28.38,28.61,1683700
20220726,000000,28.73,29.38,28.6,29.24,1068700
20220727,000000,29.31,29.37,28.8,29,971900
20220728,000000,29.25,29.89,28.85,29.01,1015800
20220729,000000,29.09,29.7,28.71,28.86,1681600
20220730,000000,28.99,29.19,27.93,28,2193300
20220802,000000,28.1,28.49,27.75,27.85,1359000
20220803,000000,28.02,28.02,27.27,27.31,1416200
20220804,000000,27.31,27.88,26.83,27.08,1596500
20220805,000000,27.14,27.29,26.7,26.8,908100
20220806,000000,26.74,26.78,25.5,25.67,1747400
20220809,000000,26.47,26.51,24.75,25.27,2159100
20220810,000000,25.2,28.1,25.07,27.77,3952000
20220811,000000,28,30.33,27.91,28.97,14559500
20220812,000000,29.48,30.3,28.8,29.54,8213100
20220813,000000,29.77,32.37,29.53,31.24,13520500
